"","city","long","lat","correct","incorrect","missed"
"1","Las Vegas","36.2806","-115.1626","67","1","8"
"2","Las Vegas","36.274673","-115.168044","50","0","13"
"3","Las Vegas","36.286733","-115.180036","8","0","0"
"4","Sacramento","38.567376","-121.448382","30","1","20"
"5","Sacramento","38.526899","-121.488498","5","8","3"
"6","Sacramento","38.498954","-121.523857","26","8","12"
"7","Phoenix","33.507138","-112.007008","60","2","24"
"8","Phoenix","33.507251","-111.97859","50","1","10"
"9","Phoenix","33.573903","-112.046207","23","3","12"
"10","Plano","33.081127","-96.763787","80","0","24"
"11","Plano","33.044922","-96.818838","20","3","17"
"12","Plano","32.974517","-96.859751","22","1","6"
"13","Scottsdale","33.690906","-111.861201","10","0","10"
"14","Scottsdale","33.710101","-111.898202","30","1","17"
"15","Scottsdale","33.609031","-111.859393","38","0","32"
"16","Miami","25.857172","-80.245789","5","3","0"
"17","Miami","25.826458","-80.266795","9","5","1"
"18","Miami","25.866387","-80.257568","6","2","3"
"19","Total",NA,NA,"539","39","212"
